Folder,avg_PR_band1_3
145,0.4211860311152023
146,0.3944506607972305
147,0.5448376159074725
148,0.393171565019239
149,0.4820588941731651
150,0.4772832365105832
151,0.417649616779878
152,0.4317523390987265
153,0.5924558178278493
154,0.5593059319315786
155,0.5620139558783791
156,0.5569116841026104
157,0.2768349849826693
158,0.4719604186877992
159,0.5301269975491101
160,0.55453360563346
161,0.5199244230041856
162,0.4746518302538245
163,0.4637403721434625
164,0.604725900468975
165,0.6715859248008917
166,0.4457496986200571
167,0.5255931748193077
168,0.5655936857280093
169,0.5130365108635103
170,0.5111548602591659
171,0.3641139817349758
172,0.5776589490606171
173,0.4202427455261651
174,0.5613592533649835
175,0.4522190355951612
176,0.5370293189856233
177,0.3525747149781075
178,0.4786369549485902
179,0.4328771616425363
180,0.5432375678732112
181,0.5253869637793714
182,0.3503219447024894
183,0.6403815049542603
184,0.4380954852074719
185,0.4556480780611613
186,0.2412956761445946
187,0.5060627485058805
188,0.4971690568468896
189,0.56314294116759
190,0.5144855328590034
191,0.4755500342984511
192,0.529639670369391
193,0.6119404577691483
194,0.4349639349648358
195,0.5997591555140085
196,0.435110087913342
197,0.6359728084170222
198,0.471867514455218
199,0.3391132354569824
200,0.4732149155786914
201,0.5241655138108201
202,0.4631094169836414
203,0.4937353378477593
204,0.4684590432478875
205,0.5490438265300753
206,0.5326837077660024
207,0.5667533852944789
208,0.4753332760034936
209,0.5012347265696859
210,0.4768028293553206
211,0.5410028696221941
212,0.5415302975049129
213,0.4739317157695017
214,0.4327809584736087
215,0.6522328511381468
216,0.4510270309795602
217,0.5195377694462656
218,0.3967540002784207
219,0.269763430328132
220,0.5019844376902091
221,0.5033853470881255
222,0.4508694793312826
223,0.6184166829280678
224,0.5409555181442435
225,0.4828342556614008
226,0.5869966466790395
227,0.4550500503756461
228,0.4788757410236246
229,0.4958709753949615
230,0.4964552035853244
231,0.5549703422489422
232,0.4786690262282793
233,0.4558369468300842
234,0.444731019210669
235,0.4186691914049986
236,0.4940381168848941
237,0.4118519506276463
238,0.5417587937277766
239,0.5867400751322628
240,0.4069086688248169
241,0.4180647511351156
242,0.5437887450430381
243,0.5127507755672842
244,0.4092093402721517
245,0.3794767972823369
246,0.4255185729347099
247,0.5093314630592284
248,0.3991707148784362
249,0.4907244420333021
250,0.4290139350890424
251,0.5481153316837929
252,0.5143961037517277
253,0.4996870819723734
254,0.4191619952310293
255,0.5148920396223876
256,0.4835293208230166
257,0.4964538028021366
258,0.5376651110404884
259,0.5450543975024733
260,0.4530054140798699
261,0.5363746687236116
262,0.4786984956098958
263,0.4633867624643726
264,0.5516491557747784
265,0.5648918209234496
266,0.453995931075888
267,0.5746296868263759
268,0.4362677877591487
269,0.4672956291709423
270,0.4776449432471783
271,0.3582515785936511
272,0.3075064484938166
273,0.5918259971225571
274,0.39410555353793
275,0.436826262427469
276,0.4726222828478666
277,0.624633686859508
278,0.5521970154772792
279,0.5366352903236941
280,0.510955513542552
281,0.4154769709774059
282,0.5592076683799804
283,0.3713291294425299
284,0.4934122598256116
285,0.4727884428471965
286,0.4956148364476487
287,0.4764820936835354
288,0.4958155757236129
289,0.5341475994493347
290,0.480595473251544
291,0.5615000064072292
292,0.5788586757651394
293,0.3856008225497669
294,0.4938644664866663
295,0.4386483563914415
296,0.4917078564989525
297,0.4743831626157755
298,0.3224527014049612
299,0.59470111693002
300,0.4412882242332128
301,0.3226477312708002
302,0.455013554418207
303,0.6231742020692931
304,0.3729270712777091
305,0.5081472330664377
306,0.4853027685163263
307,0.5578766422538974
308,0.4514024620415113
309,0.4673850523165048
310,0.4408039299238013
311,0.5242885186291417
312,0.5338594510845068
313,0.4267150212774395
314,0.6291951200702438
315,0.5536635752695087
316,0.5592532034715346
317,0.4404448187567422
318,0.4679637016348043
319,0.3481598674016624
320,0.4304685552637068
321,0.4440170017534863
322,0.4198494007494165
323,0.4798803719669918
324,0.486007630744545
325,0.5144964951734473
326,0.5077616788039313
327,0.4347449030798603
328,0.4323345903529041
329,0.5791859107681017
330,0.6264071698847488
331,0.4945717354938008
332,0.499985061227858
333,0.6337730098480662
334,0.534663919322489
335,0.4915355276066585
336,0.4819891668271427
337,0.4745259204883438
338,0.5365442404882158
339,0.4595336014860746
340,0.4029189800761728
341,0.679371459191375
342,0.4817701348908106
343,0.362394056518682
344,0.4072250373576998
345,0.5773842906612798
346,0.535762519964366
347,0.3671522508944932
348,0.4737830992070572
349,0.5744436684920188
350,0.4814485577910059
351,0.4570363413756679
352,0.6416638980673595
353,0.4921242346365899
354,0.3265023620065537
355,0.59693953057116
356,0.5194930753180386
357,0.4825790304647047
358,0.5552326141698899
359,0.4657539728425977
360,0.2921159038697825
361,0.4739488689310531
362,0.5233599102601624
363,0.5053835286933851
364,0.4223236889847097
365,0.4264093280094809
366,0.5225536114764732
367,0.4949015932551996
368,0.4596053660144585
369,0.4426503417855807
370,0.4661073263254628
371,0.4643634797595886
372,0.5411686612499085
373,0.6453586491207979
374,0.464628046858611
375,0.4055492306810229
376,0.4064776845405177
377,0.5494950482000772
378,0.6417791841827393
379,0.5647002991586284
380,0.609177290660066
381,0.3539397546621348
382,0.5352312503336298
383,0.5906915341025409
384,0.5431258776302209
385,0.4236440631392533
386,0.4950161562569819
387,0.558737269094353
388,0.4463696006820539
389,0.5308911722177648
390,0.4726500298052123
391,0.592358513595457
392,0.5060712358549462
393,0.4868289192745913
394,0.4766350350818674
395,0.4380644898497026
396,0.415859562120662
397,0.4285915526146233
398,0.3867096247049844
399,0.5670877801780114
400,0.4408528100764539
401,0.5427842660933275
402,0.6903079979202866
403,0.5324878297110058
404,0.4300254459689367
405,0.4221415005179924
406,0.5554058529027678
407,0.3402931360143941
408,0.502175476298128
409,0.4314987137481345
410,0.367505174157731
411,0.5282175186541614
412,0.5733160977228239
413,0.4417908041578082
414,0.6959789608029153
415,0.5897350047470319
416,0.4102819187786488
417,0.4570445566526675
418,0.5231766929212666
419,0.5312066773840076
420,0.3894702551835596
421,0.6824221705272059
422,0.4231583551336097
423,0.5870197401877041
424,0.4599661718147185
425,0.3470910218825438
426,0.5520258206587255
427,0.5181804281757336
428,0.4357975372742892
429,0.4801635780931502
430,0.3466200049535375
431,0.3662633767832588
432,0.508209224665882
433,0.5102136076023802
434,0.5366076212378319
435,0.3724328236039369
436,0.4498785286518047
437,0.4922663883987377
438,0.4926636017404592
439,0.4744584558879842
